period,addressId,diceName,bet_count
2012-07-16,3517367,lessthan 48000,5753
2012-07-17,3524394,lessthan 32000,4889
2012-07-17,3517636,lessthan 32768,1837
2012-07-17,3517367,lessthan 48000,1576
2012-07-18,3524394,lessthan 32000,2835
2012-07-18,3517636,lessthan 32768,2316
2012-07-18,3517367,lessthan 48000,2181
2012-07-19,3524394,lessthan 32000,4632
2012-07-19,3517636,lessthan 32768,503
2012-07-19,3517367,lessthan 48000,1777
2012-07-20,3524394,lessthan 32000,3853
2012-07-20,3517636,lessthan 32768,1063
2012-07-20,3517367,lessthan 48000,1231
2012-07-21,3524394,lessthan 32000,3413
2012-07-21,3517636,lessthan 32768,1064
2012-07-21,3517367,lessthan 48000,1133
2012-07-22,3524394,lessthan 32000,3093
2012-07-22,3517636,lessthan 32768,1244
2012-07-22,3517367,lessthan 48000,1932
2012-07-23,3524394,lessthan 32000,2988
2012-07-23,3517636,lessthan 32768,1010
2012-07-23,3517367,lessthan 48000,747
2012-07-24,3524394,lessthan 32000,2187
2012-07-24,3517636,lessthan 32768,465
2012-07-24,3517367,lessthan 48000,808
2012-07-25,3524394,lessthan 32000,1106
2012-07-25,3517636,lessthan 32768,607
2012-07-25,3517367,lessthan 48000,552
2012-07-26,3524394,lessthan 32000,1425
2012-07-26,3517636,lessthan 32768,1004
2012-07-26,3517367,lessthan 48000,1429
2012-07-27,3524394,lessthan 32000,807
2012-07-27,3517636,lessthan 32768,1456
2012-07-27,3517367,lessthan 48000,2719
2012-07-28,3524394,lessthan 32000,1369
2012-07-28,3517636,lessthan 32768,1150
2012-07-28,3517367,lessthan 48000,3214
2012-07-29,3524394,lessthan 32000,6013
2012-07-29,3517636,lessthan 32768,1136
2012-07-29,3517367,lessthan 48000,1334
2012-07-30,3524394,lessthan 32000,5460
2012-07-30,3517636,lessthan 32768,1413
2012-07-30,3517367,lessthan 48000,1433
2012-07-31,3524394,lessthan 32000,3007
2012-07-31,3517636,lessthan 32768,826
2012-07-31,3517367,lessthan 48000,939
2012-08-01,3524394,lessthan 32000,1877
2012-08-01,3517636,lessthan 32768,716
2012-08-01,3517367,lessthan 48000,720
2012-08-02,3524394,lessthan 32000,2054
2012-08-02,3517636,lessthan 32768,992
2012-08-02,3517367,lessthan 48000,783
2012-08-03,3524394,lessthan 32000,2179
2012-08-03,3517636,lessthan 32768,1364
2012-08-03,3517367,lessthan 48000,894
2012-08-04,3524394,lessthan 32000,2792
2012-08-04,3517636,lessthan 32768,350
2012-08-04,3517367,lessthan 48000,1154
2012-08-05,3524394,lessthan 32000,2945
2012-08-05,3517636,lessthan 32768,1063
2012-08-05,3517367,lessthan 48000,1814
2012-08-06,3524394,lessthan 32000,2024
2012-08-06,3517636,lessthan 32768,804
2012-08-06,3517367,lessthan 48000,886
2012-08-07,3524394,lessthan 32000,1898
2012-08-07,3517636,lessthan 32768,850
2012-08-07,3517367,lessthan 48000,647
2012-08-08,3524394,lessthan 32000,4263
2012-08-08,3517636,lessthan 32768,1119
2012-08-08,3517367,lessthan 48000,924
2012-08-09,3524394,lessthan 32000,1239
2012-08-09,3517636,lessthan 32768,754
2012-08-09,3517367,lessthan 48000,415
2012-08-10,3524394,lessthan 32000,611
2012-08-10,3517636,lessthan 32768,850
2012-08-10,3517367,lessthan 48000,832
2012-08-11,3524394,lessthan 32000,1690
2012-08-11,3517636,lessthan 32768,764
2012-08-11,3517367,lessthan 48000,2205
2012-08-12,3524394,lessthan 32000,2768
2012-08-12,3517636,lessthan 32768,604
2012-08-12,3517367,lessthan 48000,1967
2012-08-13,3524394,lessthan 32000,4943
2012-08-13,3517636,lessthan 32768,623
2012-08-13,3517367,lessthan 48000,1073
2012-08-14,3524394,lessthan 32000,4757
2012-08-14,3517636,lessthan 32768,835
2012-08-14,3517367,lessthan 48000,1038
2012-08-15,3524394,lessthan 32000,4836
2012-08-15,3517636,lessthan 32768,702
2012-08-15,3517367,lessthan 48000,725
2012-08-16,3524394,lessthan 32000,4406
2012-08-16,3517636,lessthan 32768,750
2012-08-16,3517367,lessthan 48000,1056
2012-08-17,3524394,lessthan 32000,4098
2012-08-17,3517636,lessthan 32768,474
2012-08-17,3517367,lessthan 48000,1068
2012-08-18,3524394,lessthan 32000,3478
2012-08-18,3517636,lessthan 32768,574
2012-08-18,3517367,lessthan 48000,916
2012-08-19,3524394,lessthan 32000,3851
2012-08-19,3517636,lessthan 32768,776
2012-08-19,3517367,lessthan 48000,670
2012-08-20,3524394,lessthan 32000,4262
2012-08-20,3517636,lessthan 32768,1018
2012-08-20,3517367,lessthan 48000,311
2012-08-21,3524394,lessthan 32000,4704
2012-08-21,3517636,lessthan 32768,945
2012-08-21,3517367,lessthan 48000,387
2012-08-22,3524394,lessthan 32000,3862
2012-08-22,3517636,lessthan 32768,1049
2012-08-22,3517367,lessthan 48000,1401
2012-08-23,3524394,lessthan 32000,2270
2012-08-23,3517636,lessthan 32768,810
2012-08-23,3517367,lessthan 48000,1253
2012-08-24,3524394,lessthan 32000,3431
2012-08-24,3517636,lessthan 32768,788
2012-08-24,3517367,lessthan 48000,972
2012-08-25,3524394,lessthan 32000,4491
2012-08-25,3517636,lessthan 32768,1095
2012-08-25,3517367,lessthan 48000,571
2012-08-26,3524394,lessthan 32000,3765
2012-08-26,3517636,lessthan 32768,799
2012-08-26,3517367,lessthan 48000,391
2012-08-27,3524394,lessthan 32000,3731
2012-08-27,3517636,lessthan 32768,1791
2012-08-27,3517367,lessthan 48000,676
2012-08-28,3524394,lessthan 32000,3609
2012-08-28,3517636,lessthan 32768,1092
2012-08-28,3517367,lessthan 48000,461
2012-08-29,3524394,lessthan 32000,3006
2012-08-29,3517636,lessthan 32768,1269
2012-08-29,3517367,lessthan 48000,470
2012-08-30,3524394,lessthan 32000,5301
2012-08-30,3517636,lessthan 32768,734
2012-08-30,3517367,lessthan 48000,883
2012-08-31,3524394,lessthan 32000,6377
2012-08-31,3517636,lessthan 32768,882
2012-08-31,3517367,lessthan 48000,925
2012-09-01,3524394,lessthan 32000,4803
2012-09-01,3517636,lessthan 32768,693
2012-09-01,3517367,lessthan 48000,1618
2012-09-02,3524394,lessthan 32000,3519
2012-09-02,3517636,lessthan 32768,1151
2012-09-02,3517367,lessthan 48000,1376
2012-09-03,3524394,lessthan 32000,7102
2012-09-03,3517636,lessthan 32768,801
2012-09-03,3517367,lessthan 48000,1793
2012-09-04,3524394,lessthan 32000,4742
2012-09-04,3517636,lessthan 32768,474
2012-09-04,3517367,lessthan 48000,1757
2012-09-05,3524394,lessthan 32000,4736
2012-09-05,3517636,lessthan 32768,555
2012-09-05,3517367,lessthan 48000,913
2012-09-06,3524394,lessthan 32000,3097
2012-09-06,3517636,lessthan 32768,926
2012-09-06,3517367,lessthan 48000,517
2012-09-07,3524394,lessthan 32000,1861
2012-09-07,3517636,lessthan 32768,1015
2012-09-07,3517367,lessthan 48000,384
2012-09-08,3524394,lessthan 32000,2059
2012-09-08,3517636,lessthan 32768,2333
2012-09-08,3517367,lessthan 48000,702
2012-09-09,3524394,lessthan 32000,2251
2012-09-09,3517636,lessthan 32768,2390
2012-09-09,3517367,lessthan 48000,467
2012-09-10,3524394,lessthan 32000,2918
2012-09-10,3517636,lessthan 32768,2306
2012-09-10,3517367,lessthan 48000,431
2012-09-11,3524394,lessthan 32000,4140
2012-09-11,3517636,lessthan 32768,2247
2012-09-11,3517367,lessthan 48000,300
2012-09-12,3524394,lessthan 32000,2605
2012-09-12,3517636,lessthan 32768,879
2012-09-12,3517367,lessthan 48000,156
2012-09-13,3524394,lessthan 32000,3061
2012-09-13,3517636,lessthan 32768,1406
2012-09-13,3517367,lessthan 48000,260
2012-09-14,3524394,lessthan 32000,5384
2012-09-14,3517636,lessthan 32768,1480
2012-09-14,3517367,lessthan 48000,648
2012-09-15,3524394,lessthan 32000,4057
2012-09-15,3517636,lessthan 32768,672
2012-09-15,3517367,lessthan 48000,372
2012-09-16,3524394,lessthan 32000,4247
2012-09-16,3517636,lessthan 32768,560
2012-09-16,3517367,lessthan 48000,691
2012-09-17,3524394,lessthan 32000,2642
2012-09-17,3517636,lessthan 32768,844
2012-09-17,3517367,lessthan 48000,366
2012-09-18,3524394,lessthan 32000,3316
2012-09-18,3517636,lessthan 32768,1492
2012-09-18,3517367,lessthan 48000,521
2012-09-19,3524394,lessthan 32000,2794
2012-09-19,3517636,lessthan 32768,1866
2012-09-19,3517367,lessthan 48000,522
2012-09-20,3524394,lessthan 32000,2549
2012-09-20,3517636,lessthan 32768,1212
2012-09-20,3517367,lessthan 48000,435
2012-09-21,3524394,lessthan 32000,4877
2012-09-21,3517636,lessthan 32768,1093
2012-09-21,3517367,lessthan 48000,630
2012-09-22,3524394,lessthan 32000,3160
2012-09-22,3517636,lessthan 32768,379
